idquest,cluster,target
11421900601.0,0,1
11421900701.0,0,0
11421900801.0,0,1
11421901001.0,0,1
11421901201.0,0,1
11421901501.0,0,1
11421901701.0,0,1
11421901901.0,0,1
11421902101.0,0,1
11421902401.0,0,1
11421902501.0,0,1
11421902601.0,0,1
11422000601.0,0,1
11422000701.0,0,1
11422001101.0,0,0
11422001202.0,0,1
11422001207.0,0,0
11422001301.0,0,1
11422001401.0,0,1
11422001402.0,0,0
11422001801.0,0,1
11422002102.0,0,1
11422100101.0,0,1
11422100201.0,0,0
11422100401.0,0,1
11422100701.0,0,0
11422100801.0,0,1
11422100901.0,0,0
11422101101.0,0,0
11422101401.0,0,0
11422101502.0,0,0
11422101504.0,0,1
11422101701.0,0,0
11422102401.0,0,1
12110200101.0,0,0
12110200401.0,0,0
12110200601.0,0,0
12110201701.0,0,0
12110202001.0,0,0
12110202101.0,0,1
12110202201.0,0,0
12110202401.0,0,0
12110202703.0,0,0
12110202801.0,0,0
12110202901.0,0,1
12110203201.0,0,0
12110203401.0,0,1
12110203501.0,0,1
12110204401.0,0,1
12110204501.0,0,1
12110204601.0,0,0
12110204801.0,0,1
12110205001.0,0,1
12110205101.0,0,0
12110205401.0,0,0
12110206101.0,0,1
12110206401.0,0,1
12110206701.0,0,0
12110206702.0,0,0
12110206703.0,0,0
12110300201.0,0,0
12110300301.0,0,0
12110300401.0,0,0
12110300601.0,0,1
12110300702.0,0,1
12110300901.0,0,1
12110301001.0,0,1
12110301101.0,0,0
12110301201.0,0,0
12110301202.0,0,1
12110301301.0,0,0
12110301401.0,0,1
12110301501.0,0,0
12110400101.0,0,1
12110400601.0,1,0
12110400701.0,0,1
12110400801.0,0,1
12110400901.0,0,1
12110401001.0,0,1
12110401201.0,0,0
12110401601.0,0,1
12110401701.0,0,1
12110402401.0,0,1
12110402501.0,0,1
12110500101.0,0,1
12110500301.0,0,1
12110500501.0,0,1
12110500801.0,0,1
12110501001.0,0,1
12110501101.0,0,1
12110501301.0,0,1
12110600101.0,0,0
12110600501.0,0,1
12110600601.0,0,1
12110600701.0,0,1
12110600802.0,0,1
12110600803.0,0,1
12110601001.0,0,1
12110601101.0,0,0
12110601201.0,0,1
12110601901.0,0,0
12110602001.0,0,1
12110602101.0,0,0
12110602201.0,0,0
12110602401.0,0,0
12110700101.0,0,1
12110700301.0,1,1
12110700401.0,0,1
12110700501.0,0,1
12110700601.0,0,0
12110700701.0,0,0
12110800101.0,0,1
12110800702.0,0,1
12110801203.0,0,0
12110802201.0,0,1
12110802301.0,0,0
12110802401.0,0,1
12110802502.0,0,0
12110802701.0,0,0
12110802901.0,0,1
12110900101.0,0,1
12110900201.0,0,1
12110900601.0,0,0
12110900701.0,0,0
12110900801.0,0,0
12110900901.0,0,1
12110901101.0,0,0
12110901401.0,0,0
12110901501.0,0,0
12110901901.0,0,1
12110902001.0,0,1
12110902101.0,0,1
12110902201.0,0,0
12110902401.0,0,1
12111000501.0,0,1
12111000601.0,0,0
12111000701.0,0,1
12111001501.0,0,1
12111001601.0,0,1
12111001901.0,0,1
12111100101.0,0,0
12111100201.0,0,1
12111200301.0,0,1
12111200601.0,0,1
12111200701.0,0,0
12111201901.0,0,0
12111202001.0,0,1
12111202101.0,0,1
12111202201.0,0,1
12111202401.0,0,1
12111202501.0,0,1
12111202701.0,0,0
12111203001.0,0,1
12111203201.0,0,0
12111300101.0,0,0
